model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,average_precision,0.705383,0.705906,0.072710,0.553164,0.836630,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,pr_auc,0.705383,0.705906,0.072710,0.553164,0.836630,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,map,0.705383,0.705906,0.072710,0.553164,0.836630,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,roc_auc,0.841467,0.841310,0.039383,0.759147,0.912233,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,average_precision,0.724578,0.722112,0.066688,0.573886,0.834765,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,pr_auc,0.724578,0.722112,0.066688,0.573886,0.834765,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,map,0.724578,0.722112,0.066688,0.573886,0.834765,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,roc_auc,0.825067,0.826119,0.037111,0.750562,0.896320,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,average_precision,0.589990,0.594191,0.079865,0.436211,0.748337,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,pr_auc,0.589990,0.594191,0.079865,0.436211,0.748337,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,map,0.589990,0.594191,0.079865,0.436211,0.748337,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,mrr,1.000000,0.999677,0.016412,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,roc_auc,0.859600,0.858859,0.031258,0.793328,0.914545,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,average_precision,0.732939,0.730258,0.062242,0.590629,0.836858,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,pr_auc,0.732939,0.730258,0.062242,0.590629,0.836858,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,map,0.732939,0.730258,0.062242,0.590629,0.836858,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,roc_auc,0.862267,0.861756,0.031073,0.795069,0.917239,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,average_precision,0.733382,0.730844,0.063735,0.588223,0.839025,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,pr_auc,0.733382,0.730844,0.063735,0.588223,0.839025,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,map,0.733382,0.730844,0.063735,0.588223,0.839025,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,roc_auc,0.604200,0.604975,0.053558,0.499153,0.708172,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,average_precision,0.494441,0.402221,0.075236,0.261130,0.554846,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,pr_auc,0.494441,0.402221,0.075236,0.261130,0.554846,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,map,0.494441,0.402221,0.075236,0.261130,0.554846,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,mrr,1.000000,0.785803,0.296481,0.200000,1.000000,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,roc_auc,0.604000,0.605285,0.055272,0.494140,0.708608,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,average_precision,0.490156,0.395516,0.075147,0.253604,0.546230,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,pr_auc,0.490156,0.395516,0.075147,0.253604,0.546230,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,map,0.490156,0.395516,0.075147,0.253604,0.546230,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,mrr,1.000000,0.785803,0.296481,0.200000,1.000000,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,roc_auc,0.768800,0.771384,0.055637,0.658131,0.875047,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,average_precision,0.514122,0.520855,0.084716,0.364622,0.694501,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,pr_auc,0.514122,0.520855,0.084716,0.364622,0.694501,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,map,0.514122,0.520855,0.084716,0.364622,0.694501,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,mrr,1.000000,0.971691,0.139497,0.333333,1.000000,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,roc_auc,0.691200,0.690985,0.045114,0.603578,0.779208,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,average_precision,0.599287,0.460179,0.092738,0.287095,0.650969,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,pr_auc,0.599287,0.460179,0.092738,0.287095,0.650969,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,map,0.599287,0.460179,0.092738,0.287095,0.650969,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,mrr,1.000000,0.701058,0.361475,0.111111,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,roc_auc,0.812533,0.812263,0.037545,0.736710,0.882132,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,average_precision,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,pr_auc,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,map,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,mrr,1.000000,0.998252,0.037323,1.000000,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,roc_auc,0.812533,0.812263,0.037545,0.736710,0.882132,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,average_precision,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,pr_auc,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,map,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,mrr,1.000000,0.998252,0.037323,1.000000,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,roc_auc,0.812533,0.812263,0.037545,0.736710,0.882132,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,average_precision,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,pr_auc,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,map,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260322,step9_clean_control_seed,mrr,1.000000,0.998252,0.037323,1.000000,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,roc_auc,0.812533,0.812263,0.037545,0.736710,0.882132,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,average_precision,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_mean,step9_clean_control_seed_mean,pr_auc,0.578215,0.579533,0.079124,0.420691,0.731468,5000,200,50,150,126
