model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,roc_auc,0.842017,0.841326,0.051345,0.727517,0.926377,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,step9_clean_minority_regularization_seed_mean,average_precision,0.588995,0.592835,0.115306,0.338429,0.790663,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,roc_auc,0.831373,0.830601,0.054640,0.709557,0.921592,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260320,step9_clean_minority_regularization_seed,average_precision,0.558135,0.565537,0.121870,0.298829,0.780239,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,roc_auc,0.825210,0.825533,0.053439,0.707239,0.918159,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260321,step9_clean_minority_regularization_seed,average_precision,0.557788,0.567547,0.112449,0.328240,0.768763,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,roc_auc,0.816246,0.816748,0.052399,0.704196,0.908154,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_20260322,step9_clean_minority_regularization_seed,average_precision,0.530994,0.541982,0.111762,0.300599,0.742870,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,roc_auc,0.826891,0.827177,0.053141,0.709282,0.918753,5000,106,21,85,39
step9_e5_lr_l2_positive_pair_mixup_50pct_seed_mean,step9_clean_minority_regularization_seed_mean,average_precision,0.549271,0.560883,0.115036,0.312801,0.767063,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,roc_auc,0.783754,0.786578,0.089328,0.592593,0.946429,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_20260320,step9_operational_identifier_seed,average_precision,0.647686,0.648407,0.131151,0.347406,0.866396,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_20260321,step9_operational_identifier_seed,roc_auc,0.783754,0.786578,0.089328,0.592593,0.946429,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_20260321,step9_operational_identifier_seed,average_precision,0.647686,0.648407,0.131151,0.347406,0.866396,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_20260322,step9_operational_identifier_seed,roc_auc,0.783754,0.786578,0.089328,0.592593,0.946429,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_20260322,step9_operational_identifier_seed,average_precision,0.647686,0.648407,0.131151,0.347406,0.866396,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_mean,step9_operational_identifier_seed_mean,roc_auc,0.783754,0.786578,0.089328,0.592593,0.946429,5000,106,21,85,39
step9_identifier_augmented_lr_l2_100pct_seed_mean,step9_operational_identifier_seed_mean,average_precision,0.647686,0.648407,0.131151,0.347406,0.866396,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_20260320,step9_clean_control_seed,roc_auc,0.799440,0.806817,0.061071,0.683225,0.930634,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_20260320,step9_clean_control_seed,average_precision,0.531286,0.553096,0.120260,0.306771,0.786867,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_20260321,step9_clean_control_seed,roc_auc,0.799440,0.806817,0.061071,0.683225,0.930634,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_20260321,step9_clean_control_seed,average_precision,0.531286,0.553096,0.120260,0.306771,0.786867,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_20260322,step9_clean_control_seed,roc_auc,0.799440,0.806817,0.061071,0.683225,0.930634,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_20260322,step9_clean_control_seed,average_precision,0.531286,0.553096,0.120260,0.306771,0.786867,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_mean,step9_clean_control_seed_mean,roc_auc,0.799440,0.806817,0.061071,0.683225,0.930634,5000,106,21,85,39
step9_labse_lr_l2_100pct_seed_mean,step9_clean_control_seed_mean,average_precision,0.531286,0.553096,0.120260,0.306771,0.786867,5000,106,21,85,39
