pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3
market_item.xlsx|apollon market|seller_raw:cannadepot (97%)||market_item.xlsx|cannazon market|seller_raw:CannaDepot,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|apollon market|seller_raw:cannadepot (97%),market_item.xlsx|cannazon market|seller_raw:CannaDepot,apollon market,cannazon market,0,1,high,pending,,0.0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,26.481324,0.0,8.827108,0,3,0,2,0.487438,0.334535,1823,134,0.07884,0.041123,0.157672,0.116199,0.028148,0.147541,0.024261,0.060439,0.796992,0.043322,11.0,12.07,3.5,22.5,0.002114,0.008378,0.25,0.75,0.4,0.025375,0.987205,0.905616,0.942531,0.942737,0.827206,0.885889,0.061436
market_item.xlsx|apollon market|seller_raw:ixorexx (96%)||market_item.xlsx|darkfox market|seller_raw:Blueskies1337,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|apollon market|seller_raw:ixorexx (96%),market_item.xlsx|darkfox market|seller_raw:Blueskies1337,apollon market,darkfox market,0,1,high,pending,,0.0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,25.90596,0.0,8.63532,0,3,0,2,0.531382,0.192997,1823,504,0.729076,0.108844,0.577115,0.567529,0.247002,0.109961,0.195522,0.316948,0.139333,0.388504,51.0,4.0,43.5,1257.0,0.012409,0.008953,0.181818,0.163636,0.281818,0.352844,0.940797,0.823704,0.870801,0.862419,0.778332,0.834304,0.007227
market_item.xlsx|apollon market|seller_raw:XXXXTentacion (93%)||market_item.xlsx|dark0de|seller_raw:xxxxtentacion,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|apollon market|seller_raw:XXXXTentacion (93%),market_item.xlsx|dark0de|seller_raw:xxxxtentacion,apollon market,dark0de,0,1,high,pending,,0.0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,3,0.37511,0.656986,1823,857,0.0451,0.096856,0.286858,0.034562,0.090913,0.316644,0.186077,0.260324,0.061837,0.126666,1.0,59.965,15.5,43.0,0.005168,0.010678,0.055678,0.13663,0.118681,0.007281,0.990361,0.915677,0.942773,0.951666,0.946019,0.945371,0.580763
market_item.xlsx|incognito|seller_raw:/vendor/pabloUKcocaine||market_item.xlsx|tor2door market|seller_raw:C4RD1NGC0D3,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|incognito|seller_raw:/vendor/pabloUKcocaine,market_item.xlsx|tor2door market|seller_raw:C4RD1NGC0D3,incognito,tor2door market,0,1,high,pending,,0.0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,17.654216,0.0,8.827108,0,2,0,2,0.497624,0.289195,21,146,0.103448,0.017241,0.055172,0.243103,0.234483,0.363793,0.127586,0.074138,0.0,0.072414,5.0,45.0,1.0,188.0,0.010444,0.015826,0.5,0.5,0.0,0.046134,0.981282,0.855956,0.878692,0.900101,0.707042,0.739662,0.017043
market_item.xlsx|agartha market|seller_raw:legit1||market_item.xlsx|agartha market|seller_raw:thug1,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|agartha market|seller_raw:legit1,market_item.xlsx|agartha market|seller_raw:thug1,agartha market,agartha market,1,1,high,pending,,0.578947,1,1,0,0,1,1,5,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,3,0.0,0.777332,252,252,0.115538,0.007968,0.027889,0.011952,0.035857,0.019921,0.059761,0.071713,0.035857,0.286852,56.0,0.000133,1.0,15.0,0.006871,0.001967,0.131451,0.224753,0.006975,0.076518,0.984591,0.907625,0.928779,0.942703,0.910511,0.769579,0.466211
market_item.xlsx|Lime|seller_raw:goodfellass||market_item.xlsx|darkfox market|seller_raw:Aliancepro,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|Lime|seller_raw:goodfellass,market_item.xlsx|darkfox market|seller_raw:Aliancepro,Lime,darkfox market,0,1,high,pending,,0.0,1,0,1,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0.0,0.276403,110,504,0.129626,0.489904,0.334397,0.095847,0.492622,0.06557,0.306418,0.357324,0.486621,0.012877,243.0,200.0,25.0,257.0,0.045447,0.0109,0.230233,0.18217,0.491473,0.055945,0.973017,0.865752,0.925262,0.916365,0.884703,0.800378,0.029996
market_item.xlsx|silk road 3.1|seller_raw:marketroad||market_item.xlsx|silk road 3.1|seller_raw:usbb76854,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|silk road 3.1|seller_raw:marketroad,market_item.xlsx|silk road 3.1|seller_raw:usbb76854,silk road 3.1,silk road 3.1,1,1,high,pending,,0.25,1,1,0,0,1,2,1,0,0,0.0,0.0,0.0,0.0,8.827108,8.827108,8.827108,8.827108,0,1,1,3,0.204066,0.156357,2609,2609,0.259969,0.011891,0.148773,0.225843,0.222009,0.356979,0.114647,0.142255,0.898773,0.394939,7.0,45500.0,10.0,180.0,0.048602,0.034862,0.5,0.5,0.666667,0.123459,0.956983,0.858271,0.884931,0.827959,0.523822,0.684,0.421715
market_item.xlsx|apollon market|seller_raw:ExpresspharmaUK (100%)||market_item.xlsx|versus market|seller_raw:Premierpharma,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|apollon market|seller_raw:ExpresspharmaUK (100%),market_item.xlsx|versus market|seller_raw:Premierpharma,apollon market,versus market,0,1,high,pending,,0.0,1,0,0,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0.260902,0.485422,1823,199,0.059891,0.102369,0.056398,0.000116,0.002529,0.00867,0.279563,0.205807,0.80303,0.000986,18.0,6.905,0.0,6.0,0.00985,0.002814,0.0,0.0,0.625,0.01276,0.986585,0.922321,0.932394,0.945036,0.952637,0.752036,0.092138
market_item.xlsx|dark0de|seller_raw:tig3r||market_item.xlsx|vice city|seller_raw:Redlemon,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|dark0de|seller_raw:tig3r,market_item.xlsx|vice city|seller_raw:Redlemon,dark0de,vice city,0,1,high,pending,,0.0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,8.539426,0.0,8.539426,0,1,0,2,0.495331,0.280291,857,225,0.038843,0.434905,0.665929,0.54602,0.014603,0.137391,0.129422,0.20035,0.304239,0.063919,89.0,10.688285,20.0,589.5,0.001146,0.000393,0.014925,0.279602,0.093034,0.040534,0.974583,0.892034,0.935506,0.920086,0.921074,0.73835,0.01846
market_item.xlsx|apollon market|seller_raw:hezbollah (100%)||market_item.xlsx|darkfox market|seller_raw:ROZZBY,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|apollon market|seller_raw:hezbollah (100%),market_item.xlsx|darkfox market|seller_raw:ROZZBY,apollon market,darkfox market,0,1,high,pending,,0.0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,8.827108,0.0,8.827108,0,1,0,2,0.43376,0.46449,1823,504,0.475187,0.059494,0.125038,0.585177,0.26328,0.174623,0.098713,0.189712,0.872763,0.099686,5.0,25.0,6.5,1653.5,0.06064,0.030641,0.0,0.0,0.75,0.092797,0.945836,0.826325,0.864427,0.818788,0.796404,0.566563,0.017644
