evidence_uid,source_dataset,pgp_id_raw,alias_raw,alias_normalized,fingerprint_short_raw,fingerprint_raw,fingerprint_short_normalized,fingerprint_raw_normalized,vendor_ids_raw,vendor_id_count,user_hash_raw,review_count_raw,star_rate_raw
3z669jwe|pgp:23047,3z669jwe.sql,23047,BrainPower,brainpower,0xB2CC0F72861D0EAC,114877032B8695634329B495B2CC0F72861D0EAC,0xB2CC0F72861D0EAC,114877032B8695634329B495B2CC0F72861D0EAC,31242,1,,0,0.00
3z669jwe|pgp:23048,3z669jwe.sql,23048,texkryza,texkryza,0xE712715C0E267A50,04FD152CC63D23875D2E6DC2E712715C0E267A50,0xE712715C0E267A50,04FD152CC63D23875D2E6DC2E712715C0E267A50,36278,1,,0,0.00
3z669jwe|pgp:23049,3z669jwe.sql,23049,CrazyFarm(2),crazyfarm(2),0xCD6E0088625338A7,1FCE4C090FD13C2884EB7579CD6E0088625338A7,0xCD6E0088625338A7,1FCE4C090FD13C2884EB7579CD6E0088625338A7,25457,1,,0,0.00
3z669jwe|pgp:23050,3z669jwe.sql,23050,LiftedCollective,liftedcollective,0xE0B768A62E844FB4,4CC1B62FED642FCC408364AEE0B768A62E844FB4,0xE0B768A62E844FB4,4CC1B62FED642FCC408364AEE0B768A62E844FB4,38364,1,,0,0.00
3z669jwe|pgp:23051,3z669jwe.sql,23051,purepure12314,purepure12314,0x2ED73D2CA91DE277,6F1696522DD91EAA10B0B9012ED73D2CA91DE277,0x2ED73D2CA91DE277,6F1696522DD91EAA10B0B9012ED73D2CA91DE277,36310,1,,0,0.00
3z669jwe|pgp:23054,3z669jwe.sql,23054,Liftoff,liftoff,0x12759EFFFD5EFCBB,E134BA2FCD2531F5541F185612759EFFFD5EFCBB,0x12759EFFFD5EFCBB,E134BA2FCD2531F5541F185612759EFFFD5EFCBB,"38368,38496",2,,0,0.00
3z669jwe|pgp:23055,3z669jwe.sql,23055,goudagetta,goudagetta,0xD091C33987E2450E,1D578714959EBC7354883503D091C33987E2450E,0xD091C33987E2450E,1D578714959EBC7354883503D091C33987E2450E,38369,1,,0,0.00
3z669jwe|pgp:23056,3z669jwe.sql,23056,qmmf4uk(2),qmmf4uk(2),0xA012996EE29DF045,B98BF5DA70BA4B85B3D8D33EA012996EE29DF045,0xA012996EE29DF045,B98BF5DA70BA4B85B3D8D33EA012996EE29DF045,37396,1,,0,0.00
3z669jwe|pgp:23057,3z669jwe.sql,23057,cj5dio,cj5dio,0xECEAD1E31D302F6A,E41B9D16A39839B8BA861CFAECEAD1E31D302F6A,0xECEAD1E31D302F6A,E41B9D16A39839B8BA861CFAECEAD1E31D302F6A,"38370,40483",2,,0,0.00
3z669jwe|pgp:23058,3z669jwe.sql,23058,eastcoastcollective,eastcoastcollective,0x7C701D31E7E90E7A,215AAED78FA6AF5E3DC1E1897C701D31E7E90E7A,0x7C701D31E7E90E7A,215AAED78FA6AF5E3DC1E1897C701D31E7E90E7A,38371,1,,0,0.00
