alias_normalized,from_tijkc3xx_count,from_suspected_strong_count,from_suspected_weak_count,from_suspected_imposter_count,source_presence_count,is_official_benchmark_alias,is_aux_graph_expanded_alias,linked_aux_fingerprint_count,linked_aux_fingerprints
010manolo,2,0,0,0,1,true,false,2,0x746DE0CD76214BBA || F16CB0B1788AC2137D9C3C6B746DE0CD76214BBA
02joewood,1,1,1,0,3,true,false,0,
0318labs,1,0,0,0,1,true,false,2,0x5E4F519C631BDB5F || 7E5B688A5113F336C922D7C35E4F519C631BDB5F
03welle,8,0,2,0,2,true,false,2,0xDB7BCC6BC2905E1D || FE7E92943B7A04C7F8A9DDD3DB7BCC6BC2905E1D
03welle(2),0,0,3,0,1,true,false,2,0x2B523E77C3E7E47F || 9EBB36615BE39575235B486A2B523E77C3E7E47F
0420,1,0,0,0,1,true,false,2,0x3C54636C219A7D2A || 4F7FC9FE16397318C2BC55723C54636C219A7D2A
0420swe,1,0,0,0,1,true,false,0,
0celot,1,0,0,0,1,true,false,2,0x9E25F0236DBB37BD || 2D6D3FCFA82720BDFA7B26809E25F0236DBB37BD
0d1ncc,1,0,0,0,1,true,false,0,
0day,1,0,0,0,1,true,false,2,0xBAD85A43BA758868 || ECAC3B5001DD9AB9909716B5BAD85A43BA758868
0daygod,1,0,0,0,1,true,false,2,0x9F668A7A273D5881 || BF61FEB58B319C936143C3BB9F668A7A273D5881
0daykalif,1,0,0,0,1,true,false,0,
0dayscan,1,0,0,0,1,true,false,2,0x216B520D37B289C3 || 493FDECC7572B6DBE8D900D2216B520D37B289C3
0hp1,2,0,0,0,1,true,false,2,0x12E1FC40FEB74BB3 || EC308D6DD16DAA0E9E09895E12E1FC40FEB74BB3
0ld5ch00l,1,0,0,0,1,true,false,2,0x0CFBCC9C6CE48B46 || DDEFBFA58960BF9956EAF3990CFBCC9C6CE48B46
0ldamsterdam,3,1,3,0,3,true,false,2,0x8A9F06643C9E8177 || CC1C16B0761BA54BC2BC0ADF8A9F06643C9E8177
0ldamsterdamm,2,2,2,0,3,true,false,0,
0ldb0b0,1,0,0,0,1,true,false,2,0x629C2AAAF91E5E7F || 137BBECA0D41BC6384B7B74F629C2AAAF91E5E7F
0man,1,0,0,0,1,true,false,0,
0marshmallow,1,0,0,0,1,true,false,0,
0n1ypaypa1,1,0,0,0,1,true,false,2,0x41DA89B6816CB328 || AB3307A6C1EAA070362E42C341DA89B6816CB328
0rmar,1,0,0,0,1,true,false,0,
0rocktastic0,1,0,0,0,1,true,false,2,0xFFF9EDC0C4FB94B6 || 26C06D6ED189B196D642D940FFF9EDC0C4FB94B6
0sk4r,1,0,0,0,1,true,false,2,0xD2434E8B47F0DCD8 || F9A84B4111E14A5D4A69D286D2434E8B47F0DCD8
0t4c0n,1,0,0,0,1,true,false,2,0xB60462658C4CFBE4 || 52140AAB4B58C72B93E33DA5B60462658C4CFBE4
0utdoor,1,0,0,0,1,true,false,2,0x44E48BB9DF28C759 || 7643019258D5B5851D258F0F44E48BB9DF28C759
0zdryker,1,0,0,0,1,true,false,2,0xC289ABF12DAAE3B5 || DEB5B3FDB243B4FEAE7DED2CC289ABF12DAAE3B5
0zmarket,1,0,0,0,1,true,false,0,
1-800hotlinebling,2,0,0,0,1,true,false,2,0x2BFC866A4DC3E5C9 || AF2D12DF9A1CBC3C201A10CB2BFC866A4DC3E5C9
1-stop-shop,1,0,0,0,1,true,false,2,0x9512128057868242 || 8A2DAC37E5B1170EF1C24D289512128057868242
1-up,1,0,0,0,1,true,false,2,0xFE75591005DEE852 || 7CDA4193CBD528977EFDB902FE75591005DEE852
1000k,1,0,3,0,2,true,false,2,0xBF68FA85DAB6F740 || 7EFB572F681D73D0FF692E04BF68FA85DAB6F740
1008,1,0,0,0,1,true,false,0,
100kr!,1,0,0,0,1,true,false,2,0x35EAB0320EE1B680 || 8F3EDA80B56E100F7BBE34B435EAB0320EE1B680
100pro-bio-deu,1,0,0,0,1,true,false,2,0x555E80F0428DDE29 || DFA8082488BCF710CDE8EBD6555E80F0428DDE29
108mahakala,2,0,1,0,2,true,false,0,
10bears,3,0,4,0,2,true,false,2,0x72DD6B5E833784C0 || 1BA499C4D71439C03B219A6772DD6B5E833784C0
10cc,1,0,0,0,1,true,false,2,0x2F1AFB544FCDE68D || 673F0F32C236B4856B6F08992F1AFB544FCDE68D
10pounds,1,0,0,0,1,true,false,2,0xA36DF82B6720091E || 5C9D07BB97FC79454392C405A36DF82B6720091E
112holland,1,0,1,0,2,true,false,0,
11_11,1,0,0,0,1,true,false,2,0x965DB2E7DCD5D105 || 391072879DA286092BB7F428965DB2E7DCD5D105
11xthothx11,1,0,0,0,1,true,false,2,0x9E0E8796CBD24B02 || 80DF2AF5C9DDD4E9CDC409769E0E8796CBD24B02
11yliopistonapteekki,1,1,1,0,3,true,false,0,
123456,1,0,0,0,1,true,false,0,
123holland,1,0,1,0,2,true,false,0,
123killer,2,0,0,0,1,true,false,2,0x0806B1143064EEBC || F8A49B455EE70F03136698F30806B1143064EEBC
123wantrc,1,0,0,0,1,true,false,2,0x410BCE68ADBB2FBA || A5518EAA22C370CD45AFC16B410BCE68ADBB2FBA
127127,1,0,0,0,1,true,false,0,
128bpm,2,0,0,0,1,true,false,2,0xC02CA84B30FDFF86 || 8E22C1F0E1566819774B8544C02CA84B30FDFF86
12twelve,2,0,0,0,1,true,false,2,0x3228866EFE72055F || 9A75CC997147474AC3B8253B3228866EFE72055F
130282,1,0,0,0,1,true,false,2,0xCD870C2F5FE2AA0B || 1584289B71C8E40B5D052F80CD870C2F5FE2AA0B
13072006,1,0,0,0,1,true,false,2,0x112F34F4AFC45BAF || 54144DC16B70D2C452F1FC1D112F34F4AFC45BAF
13337,1,0,0,0,1,true,false,2,0xB51F4545EBA434A6 || EF9C2C8C4C106D6DCC4A4282B51F4545EBA434A6
1337h4x0r,1,0,0,0,1,true,false,2,0xE548A80F8A94EC5C || 2084484BBB1FF12AC53D9D1AE548A80F8A94EC5C
1337theblacklist1337,4,3,5,0,3,true,false,2,0x5E97B27BC07768A5 || EA90BA65EA17D200EE6217FE5E97B27BC07768A5
13ertrude,1,4,4,0,3,true,false,2,0xB0A46710A72BD615 || 8C126197661E7425FAAA02A4B0A46710A72BD615
1427boy,1,0,0,0,1,true,false,2,0x0116A01BC1220F5B || 2221A22DEB3754FD3FFBC2A50116A01BC1220F5B
176-671,1,1,1,0,3,true,false,0,
176-761,1,4,4,0,3,true,false,2,0x2BC66ED2835DA8B5 || B3AA35B136FDDEC0413B4CA32BC66ED2835DA8B5
1835cartel,1,0,0,0,1,true,false,2,00944F824E6FECC109EC0E0C5A492E84FF9FA170 || 0x5A492E84FF9FA170
187acab,4,0,0,0,1,true,false,2,0x8542626D4FE6AB71 || 532F0BA78D235952383A98E88542626D4FE6AB71
187ghost,1,0,1,0,2,true,false,0,
18karat,1,0,0,0,1,true,false,2,0x6AE33780AED31225 || B6CBCACB170FCA9B5A8BD36E6AE33780AED31225
1937omerta1937,1,0,0,0,1,true,false,2,0x04E894D5C210F5A2 || FEAFE9567D652AEAABF74CE604E894D5C210F5A2
19kp73,1,0,0,0,1,true,false,2,0x2B81B38588C8A1B2 || 4D13CD4929A1D70CCFBAE44F2B81B38588C8A1B2
1_supplies,1,0,1,0,2,true,false,0,
1a_mundipharma,1,0,0,0,1,true,false,2,0xDDFF27973EA2BD2E || 3F94DDF67370B18B74A386D3DDFF27973EA2BD2E
1alpharomeo,2,0,0,0,1,true,false,2,0x0752DE85C6973EAF || 8BFA4E38A1A72C81086E7F180752DE85C6973EAF
1c3pr1nc355,1,0,0,0,1,true,false,2,0xAE6012601C5A0C79 || B7976DCF0B813A9499C0A82AAE6012601C5A0C79
1ce,1,0,0,0,1,true,false,2,0xC0EF3F7E29CA5CEB || C920BF6E41A840D225F393E6C0EF3F7E29CA5CEB
1dboladay,4,0,0,0,1,true,false,2,0xCB0E7D15AE24D3B0 || 3FCC709CFB1151CB0754A075CB0E7D15AE24D3B0
1dd,1,0,0,0,1,true,false,2,0x0BB360C77FEA9D9F || 2E5F2217E26C64F4084479DA0BB360C77FEA9D9F
1family1love,1,0,0,0,1,true,false,2,0xBEBF60377F890706 || C1E4AAF2292051796EC91E2FBEBF60377F890706
1mofo1,1,0,0,0,1,true,false,0,
1nolefb1,1,0,0,0,1,true,false,2,0xA5AA48B87FF57DB8 || E37DC663A1DFF371F816EAEDA5AA48B87FF57DB8
1ofakindcarding,1,0,0,0,1,true,false,2,0x987A9D7396450DB1 || D2D37ABE966BA7B10DB4D8D6987A9D7396450DB1
1onestop,2,0,1,0,2,true,false,2,0x6093CAC854962737 || A1639372CC8848876309D87E6093CAC854962737
1onestop(2),0,2,3,0,2,true,false,2,0xC0FCE9DB17375BB3 || B5E4A617E17FD313D79FF941C0FCE9DB17375BB3
1onestopshop,1,1,1,0,3,true,false,0,
1pharmacy,3,0,0,0,1,true,false,2,0x397AEC64B9F19F8E || FB2A445207DD9FB6CF939886397AEC64B9F19F8E
1rright,1,0,0,0,1,true,false,2,0x50E258E9562A9931 || 82122189567423AB6D76F58650E258E9562A9931
