comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step15_v5_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,map,0.733382,0.556195,0.177187,0.173327,0.072332,0.281053,0.002000,5000,yes
step15_v5_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,mrr,1.000000,1.000000,0.000000,0.000493,0.000000,0.000000,1.000000,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,roc_auc,0.882000,0.748000,0.134000,0.133942,0.033400,0.238146,0.006800,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,average_precision,0.705383,0.542839,0.162543,0.163519,-0.001041,0.321866,0.050400,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,pr_auc,0.705383,0.542839,0.162543,0.163519,-0.001041,0.321866,0.050400,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,map,0.705383,0.542839,0.162543,0.163519,-0.001041,0.321866,0.050400,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,mrr,1.000000,1.000000,0.000000,0.004111,0.000000,0.000000,1.000000,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,roc_auc,0.882000,0.762267,0.119733,0.120176,0.053291,0.196468,0.000400,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,average_precision,0.705383,0.556195,0.149187,0.148389,0.060728,0.244899,0.000800,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,pr_auc,0.705383,0.556195,0.149187,0.148389,0.060728,0.244899,0.000800,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,map,0.705383,0.556195,0.149187,0.148389,0.060728,0.244899,0.000800,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,mrr,1.000000,1.000000,0.000000,0.000493,0.000000,0.000000,1.000000,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,roc_auc,0.882000,0.862267,0.019733,0.020011,-0.008032,0.051235,0.168800,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,average_precision,0.705383,0.733382,-0.027999,-0.024938,-0.087200,0.029971,0.395600,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,pr_auc,0.705383,0.733382,-0.027999,-0.024938,-0.087200,0.029971,0.395600,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,map,0.705383,0.733382,-0.027999,-0.024938,-0.087200,0.029971,0.395600,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,mrr,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5000,no
