model_id,role,metric,observed,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,valid_resamples,n_rows,n_positive,n_negative,n_groups
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,average_precision,0.644989,0.647919,0.077813,0.490746,0.796990,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,pr_auc,0.644989,0.647919,0.077813,0.490746,0.796990,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,map,0.644989,0.647919,0.077813,0.490746,0.796990,5000,200,50,150,126
step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_domain_balanced_public_noise_weighted_strong_seed_mean,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,roc_auc,0.861867,0.861028,0.031101,0.792464,0.915580,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,average_precision,0.720059,0.716077,0.069947,0.556852,0.832389,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,pr_auc,0.720059,0.716077,0.069947,0.556852,0.832389,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,map,0.720059,0.716077,0.069947,0.556852,0.832389,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260320,step15_v5_clean_public_noise_weighted_strong_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,roc_auc,0.826800,0.828009,0.037088,0.753263,0.898280,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,average_precision,0.592884,0.597284,0.080300,0.438444,0.750843,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,pr_auc,0.592884,0.597284,0.080300,0.438444,0.750843,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,map,0.592884,0.597284,0.080300,0.438444,0.750843,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260321,step15_v5_clean_public_noise_weighted_strong_seed,mrr,1.000000,0.999677,0.016412,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,roc_auc,0.857200,0.856441,0.031924,0.787867,0.914335,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,average_precision,0.720175,0.717825,0.065644,0.570080,0.830709,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,pr_auc,0.720175,0.717825,0.065644,0.570080,0.830709,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,map,0.720175,0.717825,0.065644,0.570080,0.830709,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_20260322,step15_v5_clean_public_noise_weighted_strong_seed,mrr,1.000000,1.000000,0.000000,1.000000,1.000000,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,roc_auc,0.866533,0.865714,0.030356,0.799393,0.919161,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,average_precision,0.725220,0.722522,0.067366,0.572913,0.837135,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,pr_auc,0.725220,0.722522,0.067366,0.572913,0.837135,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,map,0.725220,0.722522,0.067366,0.572913,0.837135,5000,200,50,150,126
step15_v5_public_noise_weighted_strong_phase4_seed_mean,step15_v5_clean_public_noise_weighted_strong_seed_mean,mrr,1.000000,0.999733,0.013332,1.000000,1.000000,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,roc_auc,0.604200,0.604975,0.053558,0.499153,0.708172,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,average_precision,0.494441,0.402221,0.075236,0.261130,0.554846,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,pr_auc,0.494441,0.402221,0.075236,0.261130,0.554846,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,map,0.494441,0.402221,0.075236,0.261130,0.554846,5000,200,50,150,126
step7_core_zero_shot_bge_m3,step7_clean_fusion_control,mrr,1.000000,0.785803,0.296481,0.200000,1.000000,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,roc_auc,0.604000,0.605285,0.055272,0.494140,0.708608,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,average_precision,0.490156,0.395516,0.075147,0.253604,0.546230,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,pr_auc,0.490156,0.395516,0.075147,0.253604,0.546230,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,map,0.490156,0.395516,0.075147,0.253604,0.546230,5000,200,50,150,126
step7_core_zero_shot_default,step7_clean_fusion_control,mrr,1.000000,0.785803,0.296481,0.200000,1.000000,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,roc_auc,0.768800,0.771384,0.055637,0.658131,0.875047,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,average_precision,0.514122,0.520855,0.084716,0.364622,0.694501,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,pr_auc,0.514122,0.520855,0.084716,0.364622,0.694501,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,map,0.514122,0.520855,0.084716,0.364622,0.694501,5000,200,50,150,126
step7_core_zero_shot_default_no_structural,step7_clean_ablation_control,mrr,1.000000,0.971691,0.139497,0.333333,1.000000,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,roc_auc,0.691200,0.690985,0.045114,0.603578,0.779208,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,average_precision,0.599287,0.460179,0.092738,0.287095,0.650969,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,pr_auc,0.599287,0.460179,0.092738,0.287095,0.650969,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,map,0.599287,0.460179,0.092738,0.287095,0.650969,5000,200,50,150,126
step7_identifier_augmented_default,step7_operational_identifier_control,mrr,1.000000,0.701058,0.361475,0.111111,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,roc_auc,0.813600,0.813021,0.037902,0.735811,0.883120,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,average_precision,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,pr_auc,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,map,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260320,step9_clean_control_seed,mrr,1.000000,0.998272,0.036883,1.000000,1.000000,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,roc_auc,0.813600,0.813021,0.037902,0.735811,0.883120,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,average_precision,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
step9_bge_m3_residual_lr_100pct_seed_20260321,step9_clean_control_seed,pr_auc,0.580426,0.581470,0.079050,0.422113,0.730591,5000,200,50,150,126
