comparison_role,model_a,model_b,metric,observed_a,observed_b,observed_diff_a_minus_b,diff_bootstrap_mean,diff_ci_lower,diff_ci_upper,bootstrap_sign_p_two_sided,valid_resamples,supports_positive_difference
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,average_precision,0.644989,0.542839,0.102150,0.105532,-0.066863,0.284338,0.241200,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,pr_auc,0.644989,0.542839,0.102150,0.105532,-0.066863,0.284338,0.241200,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,map,0.644989,0.542839,0.102150,0.105532,-0.066863,0.284338,0.241200,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_raw_e5,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,raw_e5_cosine,mrr,1.000000,1.000000,0.000000,0.004111,0.000000,0.000000,1.000000,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,roc_auc,0.865333,0.756667,0.108667,0.109464,0.028089,0.193623,0.006800,5000,yes
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,average_precision,0.644989,0.557633,0.087356,0.089480,-0.040876,0.221913,0.175600,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,pr_auc,0.644989,0.557633,0.087356,0.089480,-0.040876,0.221913,0.175600,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,map,0.644989,0.557633,0.087356,0.089480,-0.040876,0.221913,0.175600,5000,no
step15_v5_domain_balanced_public_noise_weighted_strong_vs_step9_mixup100,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step9_e5_lr_l2_positive_pair_mixup_100pct_seed_mean,mrr,1.000000,1.000000,0.000000,0.001167,0.000000,0.000000,1.000000,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,roc_auc,0.865333,0.866533,-0.001200,-0.000089,-0.051335,0.047426,1.000000,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,average_precision,0.644989,0.725220,-0.080231,-0.074603,-0.189542,0.023211,0.147600,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,pr_auc,0.644989,0.725220,-0.080231,-0.074603,-0.189542,0.023211,0.147600,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,map,0.644989,0.725220,-0.080231,-0.074603,-0.189542,0.023211,0.147600,5000,no
step15_v5_domain_balanced_vs_non_domain_balanced,step15_v5_domain_balanced_public_noise_weighted_strong_phase4_seed_mean,step15_v5_public_noise_weighted_strong_phase4_seed_mean,mrr,1.000000,1.000000,0.000000,0.000267,0.000000,0.000000,1.000000,5000,no
