pair_uid,pool,domain,split_name,seller_uid_left,seller_uid_right,identifier_redacted_e5_cosine,pcm_multilingual_authorship_cosine,mstyledistance_cosine
market_item.xlsx|darkfox market|seller_raw:chemzy007||market_item.xlsx|incognito|seller_raw:/vendor/tomandjerry,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:chemzy007,market_item.xlsx|incognito|seller_raw:/vendor/tomandjerry,0.899621963501,0.872014522552,0.968213379383
market_item.xlsx|darkfox market|seller_raw:darkchick||market_item.xlsx|silk road 3.1|seller_raw:hellothere345,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:darkchick,market_item.xlsx|silk road 3.1|seller_raw:hellothere345,0.837948441505,0.781497120857,0.920980513096
market_item.xlsx|darkfox market|seller_raw:live4drugs||market_item.xlsx|tor2door market|seller_raw:Darkdrugs,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:live4drugs,market_item.xlsx|tor2door market|seller_raw:Darkdrugs,0.990326881409,0.995367109776,0.998558759689
market_item.xlsx|darkfox market|seller_raw:maverick111||market_item.xlsx|incognito|seller_raw:/vendor/greenpharmastore,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:maverick111,market_item.xlsx|incognito|seller_raw:/vendor/greenpharmastore,0.924204766750,0.891202092171,0.982755303383
market_item.xlsx|darkfox market|seller_raw:originalgermed||market_item.xlsx|versus market|seller_raw:OriginalGerMeds,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:originalgermed,market_item.xlsx|versus market|seller_raw:OriginalGerMeds,0.979484736919,0.973750889301,0.998062491417
market_item.xlsx|darkfox market|seller_raw:peterpaperguy||market_item.xlsx|versus market|seller_raw:peterpaperdude,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:peterpaperguy,market_item.xlsx|versus market|seller_raw:peterpaperdude,0.936763525009,0.895647048950,0.994525492191
market_item.xlsx|darkfox market|seller_raw:procarder2||market_item.xlsx|silk road 3.1|seller_raw:procarder7,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:procarder2,market_item.xlsx|silk road 3.1|seller_raw:procarder7,0.939480185509,0.985811293125,0.999369859695
market_item.xlsx|darkfox market|seller_raw:wwcs2020||market_item.xlsx|silk road 3.1|seller_raw:mico2811,en_content_train_pool,en,train,market_item.xlsx|darkfox market|seller_raw:wwcs2020,market_item.xlsx|silk road 3.1|seller_raw:mico2811,0.939508676529,0.978217959404,0.999546229839
market_item.xlsx|incognito|seller_raw:/vendor/jamesocean||market_item.xlsx|vice city|seller_raw:Jamesocean,en_content_train_pool,en,train,market_item.xlsx|incognito|seller_raw:/vendor/jamesocean,market_item.xlsx|vice city|seller_raw:Jamesocean,0.908312141895,0.954255223274,0.988549709320
market_item.xlsx|silk road 3.1|seller_raw:1SRRR1||market_item.xlsx|silk road 3.1|seller_raw:SRRR,en_content_train_pool,en,train,market_item.xlsx|silk road 3.1|seller_raw:1SRRR1,market_item.xlsx|silk road 3.1|seller_raw:SRRR,0.994031071663,0.994907677174,0.997030258179
