metric,candidate_value,baseline_value,difference,ci_low,ci_high,p_value_raw,permutation_p_value_raw,p_value_method,valid_permutations,permutation_extreme_count,valid_bootstrap_resamples,candidate_positive_seed_count,candidate_seed_count,baseline_seed_count,paired_by_seed_id,paired_seed_ids,analysis_mode,bootstrap_mode,comparison_id,candidate_model_id,baseline_model_id,evaluation_scope,evaluation_row_count,evaluation_positive_count,evaluation_negative_count,p_value_holm,p_value_holm_source,holm_family
average_precision,0.453095,0.508705,-0.05561,-0.1920602,0.0735173,0.60387922,0.60387922,paired_split_component_score_swap_randomization_two_sided,5000,3019,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_plus_soft_primary_positive_vs_all_negative,174,24,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.781944,0.770556,0.011388,-0.10370737,0.14155875,0.84843031,0.84843031,paired_split_component_score_swap_randomization_two_sided,5000,4242,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_plus_soft_primary_positive_vs_all_negative,174,24,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.44196,0.502517,-0.060557,-0.21749665,0.06849637,0.60727854,0.60727854,paired_split_component_score_swap_randomization_two_sided,5000,3036,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_plus_soft_primary_positive_vs_all_negative,174,24,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.453095,0.508705,-0.05561,-0.2044598,0.07091468,,,not_computed_for_supplemental_bootstrap,0,,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_plus_soft_primary_positive_vs_all_negative,174,24,150,,,
roc_auc,0.781944,0.770556,0.011388,-0.11281122,0.1393863,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_plus_soft_primary_positive_vs_all_negative,174,24,150,,,
pr_auc,0.44196,0.502517,-0.060557,-0.22932332,0.0652543,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_plus_soft_primary_positive_vs_all_negative,174,24,150,,,
average_precision,0.311649,0.356273,-0.044624,-0.18103647,0.08359057,0.68706259,0.68706259,paired_split_component_score_swap_randomization_two_sided,5000,3435,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_direct_or_component_positive_vs_all_negative,168,18,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.730741,0.705926,0.024815,-0.12744165,0.17350015,0.75184963,0.75184963,paired_split_component_score_swap_randomization_two_sided,5000,3759,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_direct_or_component_positive_vs_all_negative,168,18,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.295117,0.347376,-0.052259,-0.21050622,0.07373187,0.68566287,0.68566287,paired_split_component_score_swap_randomization_two_sided,5000,3428,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_direct_or_component_positive_vs_all_negative,168,18,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.311649,0.356273,-0.044624,-0.19965462,0.07973872,,,not_computed_for_supplemental_bootstrap,0,,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_direct_or_component_positive_vs_all_negative,168,18,150,,,
roc_auc,0.730741,0.705926,0.024815,-0.1377639,0.17717892,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_direct_or_component_positive_vs_all_negative,168,18,150,,,
pr_auc,0.295117,0.347376,-0.052259,-0.22881895,0.07071597,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_strongest_step9,step15_v6_final_selected,step9_strongest_clean_validation_selected,strict_direct_or_component_positive_vs_all_negative,168,18,150,,,
average_precision,0.577943,0.542839,0.035104,-0.11621435,0.1953943,0.74405119,0.74405119,paired_split_component_score_swap_randomization_two_sided,5000,3720,5000,8,10,1,False,,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_raw_e5,step15_v6_final_selected,raw_e5_cosine,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.7848,0.748,0.0368,-0.06385872,0.14398067,0.68546291,0.68546291,paired_split_component_score_swap_randomization_two_sided,5000,3427,5000,,10,1,False,,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_raw_e5,step15_v6_final_selected,raw_e5_cosine,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.571975,0.537092,0.034883,-0.11891197,0.19966403,0.75304939,0.75304939,paired_split_component_score_swap_randomization_two_sided,5000,3765,5000,,10,1,False,,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,final_vs_raw_e5,step15_v6_final_selected,raw_e5_cosine,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.577943,0.542839,0.035104,-0.12524367,0.19353175,,,not_computed_for_supplemental_bootstrap,0,,5000,8,10,1,False,,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_raw_e5,step15_v6_final_selected,raw_e5_cosine,all_test,200,50,150,,,
roc_auc,0.7848,0.748,0.0368,-0.07080807,0.14123002,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,1,False,,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_raw_e5,step15_v6_final_selected,raw_e5_cosine,all_test,200,50,150,,,
pr_auc,0.571975,0.537092,0.034883,-0.12823802,0.197573,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,1,False,,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,final_vs_raw_e5,step15_v6_final_selected,raw_e5_cosine,all_test,200,50,150,,,
average_precision,0.597533,0.594897,0.002636,-0.04757783,0.0510238,0.930014,0.930014,paired_split_component_score_swap_randomization_two_sided,5000,4650,5000,6,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,normalized_retrieval_vs_strict_m3,step15_v6_m3_normalized_retrieval,step15_v6_m3,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.8036,0.795467,0.008133,-0.02361048,0.04043325,0.66866627,0.66866627,paired_split_component_score_swap_randomization_two_sided,5000,3343,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,normalized_retrieval_vs_strict_m3,step15_v6_m3_normalized_retrieval,step15_v6_m3,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.592168,0.59026,0.001908,-0.05343495,0.05215003,0.95740852,0.95740852,paired_split_component_score_swap_randomization_two_sided,5000,4787,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,normalized_retrieval_vs_strict_m3,step15_v6_m3_normalized_retrieval,step15_v6_m3,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.597533,0.594897,0.002636,-0.05632237,0.06271275,,,not_computed_for_supplemental_bootstrap,0,,5000,6,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,normalized_retrieval_vs_strict_m3,step15_v6_m3_normalized_retrieval,step15_v6_m3,all_test,200,50,150,,,
roc_auc,0.8036,0.795467,0.008133,-0.03366043,0.05378492,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,normalized_retrieval_vs_strict_m3,step15_v6_m3_normalized_retrieval,step15_v6_m3,all_test,200,50,150,,,
pr_auc,0.592168,0.59026,0.001908,-0.0615489,0.0645079,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,normalized_retrieval_vs_strict_m3,step15_v6_m3_normalized_retrieval,step15_v6_m3,all_test,200,50,150,,,
average_precision,0.449636,0.529862,-0.080226,-0.18875045,0.04431902,0.25254949,0.25254949,paired_split_component_score_swap_randomization_two_sided,5000,1262,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,gold_plus_high_confidence_vs_gold_only,step15_v6_m3_gold_plus_high_confidence_silver,step15_v6_m3_gold_only,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.724133,0.762267,-0.038134,-0.1294297,0.0523641,0.46570686,0.46570686,paired_split_component_score_swap_randomization_two_sided,5000,2328,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,gold_plus_high_confidence_vs_gold_only,step15_v6_m3_gold_plus_high_confidence_silver,step15_v6_m3_gold_only,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.440482,0.522539,-0.082057,-0.19592077,0.04254732,0.24995001,0.24995001,paired_split_component_score_swap_randomization_two_sided,5000,1249,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,gold_plus_high_confidence_vs_gold_only,step15_v6_m3_gold_plus_high_confidence_silver,step15_v6_m3_gold_only,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.449636,0.529862,-0.080226,-0.18228943,0.0546195,,,not_computed_for_supplemental_bootstrap,0,,5000,0,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,gold_plus_high_confidence_vs_gold_only,step15_v6_m3_gold_plus_high_confidence_silver,step15_v6_m3_gold_only,all_test,200,50,150,,,
roc_auc,0.724133,0.762267,-0.038134,-0.1308886,0.05945765,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,gold_plus_high_confidence_vs_gold_only,step15_v6_m3_gold_plus_high_confidence_silver,step15_v6_m3_gold_only,all_test,200,50,150,,,
pr_auc,0.440482,0.522539,-0.082057,-0.18801147,0.05463727,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,gold_plus_high_confidence_vs_gold_only,step15_v6_m3_gold_plus_high_confidence_silver,step15_v6_m3_gold_only,all_test,200,50,150,,,
average_precision,0.594897,0.449636,0.145261,0.0460188,0.23522127,0.00859828,0.00859828,paired_split_component_score_swap_randomization_two_sided,5000,42,5000,10,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,gold_plus_all_silver_vs_high_confidence,step15_v6_m3,step15_v6_m3_gold_plus_high_confidence_silver,all_test,200,50,150,0.16336732,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|average_precision
roc_auc,0.795467,0.724133,0.071334,0.01721252,0.12500692,0.11437712,0.11437712,paired_split_component_score_swap_randomization_two_sided,5000,571,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,gold_plus_all_silver_vs_high_confidence,step15_v6_m3,step15_v6_m3_gold_plus_high_confidence_silver,all_test,200,50,150,1.0,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|roc_auc
pr_auc,0.59026,0.440482,0.149778,0.05139532,0.2481361,0.0089982,0.0089982,paired_split_component_score_swap_randomization_two_sided,5000,44,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,primary_paired_grouped_component_bootstrap,paired_split_component_fixed_seed_mean,gold_plus_all_silver_vs_high_confidence,step15_v6_m3,step15_v6_m3_gold_plus_high_confidence_silver,all_test,200,50,150,0.1709658,permutation_p_value_raw,primary_paired_grouped_component_bootstrap|pr_auc
average_precision,0.594897,0.449636,0.145261,0.03951883,0.23062145,,,not_computed_for_supplemental_bootstrap,0,,5000,10,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,gold_plus_all_silver_vs_high_confidence,step15_v6_m3,step15_v6_m3_gold_plus_high_confidence_silver,all_test,200,50,150,,,
roc_auc,0.795467,0.724133,0.071334,0.01257482,0.13087587,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,gold_plus_all_silver_vs_high_confidence,step15_v6_m3,step15_v6_m3_gold_plus_high_confidence_silver,all_test,200,50,150,,,
pr_auc,0.59026,0.440482,0.149778,0.04384935,0.24386892,,,not_computed_for_supplemental_bootstrap,0,,5000,,10,10,True,20260320;20260321;20260322;20260323;20260324;20260325;20260326;20260327;20260328;20260329,supplemental_two_level_seed_and_component_bootstrap,two_level_seed_and_split_component_paired_when_seed_ids_match,gold_plus_all_silver_vs_high_confidence,step15_v6_m3,step15_v6_m3_gold_plus_high_confidence_silver,all_test,200,50,150,,,
