comparison_id,evaluation_split,scope,metric,candidate,baseline,candidate_value,baseline_value,difference,grouped_bootstrap_ci_low,grouped_bootstrap_ci_high,valid_grouped_bootstrap_resamples,two_level_seed_component_ci_low,two_level_seed_component_ci_high,valid_two_level_resamples,paired_seed_ids,permutation_p_value,permutation_extreme_count,valid_permutations
duplication_vs_no_augmentation,internal_development_test,all_rows,average_precision,equal_effective_weight_duplication,no_augmentation,0.4616878863027604,0.4639043612286591,-0.0022164749258986594,-0.04057306158021515,0.03030444578148175,5000,-0.041253338921154,0.030229036211077295,5000,True,0.9220155968806238,4610,5000
duplication_vs_no_augmentation,internal_development_test,all_rows,pr_auc,equal_effective_weight_duplication,no_augmentation,0.4570857680822171,0.4597446030586375,-0.002658834976420388,-0.04333380065446955,0.02906028069539062,5000,-0.04476208990738133,0.0287754394748269,5000,True,0.9088182363527294,4544,5000
duplication_vs_no_augmentation,internal_development_test,all_rows,roc_auc,equal_effective_weight_duplication,no_augmentation,0.6608,0.6632,-0.0023999999999999577,-0.02837232325775689,0.02305660430571149,5000,-0.028172544655595468,0.02396556424375231,5000,True,0.8850229954009198,4425,5000
duplication_vs_no_augmentation,representative_validation,all_rows,average_precision,equal_effective_weight_duplication,no_augmentation,0.6293604297068057,0.6444641301010944,-0.015103700394288655,-0.05030054309922032,0.0194624399022123,5000,-0.05161315179441743,0.019900611854528915,5000,True,0.7222555488902219,3611,5000
duplication_vs_no_augmentation,representative_validation,all_rows,pr_auc,equal_effective_weight_duplication,no_augmentation,0.6253441635803592,0.6408926194253819,-0.015548455845022735,-0.05398229090084931,0.019716344360635737,5000,-0.05556607392679832,0.02004027904112756,5000,True,0.7094581083783243,3547,5000
duplication_vs_no_augmentation,representative_validation,all_rows,roc_auc,equal_effective_weight_duplication,no_augmentation,0.6996080627099664,0.6975083986562151,0.0020996640537513933,-0.026528478373537365,0.03767549125780832,5000,-0.026853179279043425,0.0379187479187479,5000,True,0.9406118776244751,4703,5000
latent_mixup_vs_equal_weight_duplication,internal_development_test,all_rows,average_precision,latent_pair_embedding_mixup,equal_effective_weight_duplication,0.4598639761261687,0.4616878863027604,-0.0018239101765917254,-0.02231352401051512,0.02242078882734125,5000,-0.01994170641251248,0.023456490430543462,5000,True,0.883623275344931,4418,5000
latent_mixup_vs_equal_weight_duplication,internal_development_test,all_rows,pr_auc,latent_pair_embedding_mixup,equal_effective_weight_duplication,0.45481784672011083,0.4570857680822171,-0.0022679213621062955,-0.026025133593352793,0.022207559237229158,5000,-0.023552753270740606,0.024105930439419495,5000,True,0.8720255948810238,4360,5000
latent_mixup_vs_equal_weight_duplication,internal_development_test,all_rows,roc_auc,latent_pair_embedding_mixup,equal_effective_weight_duplication,0.6665333333333333,0.6608,0.005733333333333257,-0.0046047573584931415,0.016516552723449294,5000,-0.00468348144468281,0.017656751493937514,5000,True,0.2923415316936613,1461,5000
latent_mixup_vs_equal_weight_duplication,representative_validation,all_rows,average_precision,latent_pair_embedding_mixup,equal_effective_weight_duplication,0.6216023403439368,0.6293604297068057,-0.007758089362868925,-0.018656533699144166,0.008783557933659116,5000,-0.022639053552204826,0.007244988625536736,5000,True,0.33253349330133974,1662,5000
latent_mixup_vs_equal_weight_duplication,representative_validation,all_rows,pr_auc,latent_pair_embedding_mixup,equal_effective_weight_duplication,0.6176314260028801,0.6253441635803592,-0.007712737577479034,-0.018810531882443048,0.010066433600915444,5000,-0.024598959792724463,0.008555840351036053,5000,True,0.34093181363727254,1704,5000
latent_mixup_vs_equal_weight_duplication,representative_validation,all_rows,roc_auc,latent_pair_embedding_mixup,equal_effective_weight_duplication,0.6895296752519597,0.6996080627099664,-0.01007838745800671,-0.022301324991273946,0.0027467505121553165,5000,-0.02432810884662095,0.004273675762439789,5000,True,0.1249750049990002,624,5000
latent_mixup_vs_no_augmentation,internal_development_test,all_rows,average_precision,latent_pair_embedding_mixup,no_augmentation,0.4598639761261687,0.4639043612286591,-0.004040385102490385,-0.03962026126788637,0.031196611598340977,5000,-0.03974826317711408,0.0322471341567148,5000,True,0.8682263547290542,4341,5000
latent_mixup_vs_no_augmentation,internal_development_test,all_rows,pr_auc,latent_pair_embedding_mixup,no_augmentation,0.45481784672011083,0.4597446030586375,-0.004926756338526683,-0.0462834170557263,0.030073945136957894,5000,-0.045945254125644104,0.03236687111495259,5000,True,0.8542291541691661,4271,5000
latent_mixup_vs_no_augmentation,internal_development_test,all_rows,roc_auc,latent_pair_embedding_mixup,no_augmentation,0.6665333333333333,0.6632,0.0033333333333332993,-0.025491589638340813,0.02946525654796338,5000,-0.02452736256166918,0.030971934158845655,5000,True,0.8638272345530894,4319,5000
latent_mixup_vs_no_augmentation,representative_validation,all_rows,average_precision,latent_pair_embedding_mixup,no_augmentation,0.6216023403439368,0.6444641301010944,-0.02286178975715758,-0.05814309917127887,0.014350603948859161,5000,-0.06267186479716078,0.0133950078696468,5000,True,0.6302739452109578,3151,5000
latent_mixup_vs_no_augmentation,representative_validation,all_rows,pr_auc,latent_pair_embedding_mixup,no_augmentation,0.6176314260028801,0.6408926194253819,-0.02326119342250177,-0.0598498244578912,0.014623243408914039,5000,-0.06619802652184467,0.014280435600829554,5000,True,0.627874425114977,3139,5000
latent_mixup_vs_no_augmentation,representative_validation,all_rows,roc_auc,latent_pair_embedding_mixup,no_augmentation,0.6895296752519597,0.6975083986562151,-0.007978723404255317,-0.03627350370762708,0.026206591467200394,5000,-0.03661579008341056,0.02770160749476376,5000,True,0.8156368726254749,4078,5000
selected_clean_vs_raw_clean_e5,internal_development_test,all_rows,average_precision,step15_v7_clean_selected,raw_clean_e5_cosine,0.4639043612286591,0.4119593902009112,0.051944971027747866,-0.09740818233979229,0.1502712757717126,5000,,,0,False,0.5770845830833833,2885,5000
selected_clean_vs_raw_clean_e5,internal_development_test,all_rows,pr_auc,step15_v7_clean_selected,raw_clean_e5_cosine,0.4597446030586375,0.39744459407221827,0.06230000898641924,-0.08806927571372304,0.16359453281953365,5000,,,0,False,0.5298940211957609,2649,5000
selected_clean_vs_raw_clean_e5,internal_development_test,all_rows,roc_auc,step15_v7_clean_selected,raw_clean_e5_cosine,0.6632,0.6622666666666667,0.0009333333333333416,-0.1057745405466357,0.10059069691199529,5000,,,0,False,0.9944011197760448,4972,5000
selected_clean_vs_raw_clean_e5,representative_validation,all_rows,average_precision,step15_v7_clean_selected,raw_clean_e5_cosine,0.6444641301010944,0.5783968032093207,0.06606732689177364,-0.05574649664857804,0.18256076333212148,5000,,,0,False,0.7488502299540092,3744,5000
selected_clean_vs_raw_clean_e5,representative_validation,all_rows,pr_auc,step15_v7_clean_selected,raw_clean_e5_cosine,0.6408926194253819,0.5734307150399292,0.06746190438545274,-0.04984448168515476,0.1912857300764806,5000,,,0,False,0.7408518296340731,3704,5000
selected_clean_vs_raw_clean_e5,representative_validation,all_rows,roc_auc,step15_v7_clean_selected,raw_clean_e5_cosine,0.6975083986562151,0.6243001119820829,0.07320828667413215,-0.03240571289981141,0.1782314916471858,5000,,,0,False,0.7306538692261547,3653,5000
selected_clean_vs_source_only_clean_fusion,internal_development_test,all_rows,average_precision,step15_v7_clean_selected,step9_v7_source_only_clean_fusion,0.4639043612286591,0.406687681473829,0.05721667975483008,-0.03904319883073666,0.14384727866810798,5000,-0.03904319883073666,0.14384727866810798,5000,True,0.31953609278144374,1597,5000
selected_clean_vs_source_only_clean_fusion,internal_development_test,all_rows,pr_auc,step15_v7_clean_selected,step9_v7_source_only_clean_fusion,0.4597446030586375,0.401791694810691,0.05795290824794652,-0.04030095810950286,0.1458303519901564,5000,-0.04030095810950286,0.1458303519901564,5000,True,0.3183363327334533,1591,5000
selected_clean_vs_source_only_clean_fusion,internal_development_test,all_rows,roc_auc,step15_v7_clean_selected,step9_v7_source_only_clean_fusion,0.6632,0.5756,0.08760000000000001,-0.01886617156920821,0.1890436841901142,5000,-0.01886617156920821,0.1890436841901142,5000,True,0.15156968606278745,757,5000
selected_clean_vs_source_only_clean_fusion,representative_validation,all_rows,average_precision,step15_v7_clean_selected,step9_v7_source_only_clean_fusion,0.6444641301010944,0.6366756174725337,0.007788512628560729,-0.08744651200781796,0.11154920547381536,5000,-0.08744651200781796,0.11154920547381536,5000,True,0.9184163167366527,4592,5000
selected_clean_vs_source_only_clean_fusion,representative_validation,all_rows,pr_auc,step15_v7_clean_selected,step9_v7_source_only_clean_fusion,0.6408926194253819,0.6344441083189298,0.0064485111064520595,-0.08991871758214956,0.11073066912275797,5000,-0.08991871758214956,0.11073066912275797,5000,True,0.9234153169366127,4617,5000
selected_clean_vs_source_only_clean_fusion,representative_validation,all_rows,roc_auc,step15_v7_clean_selected,step9_v7_source_only_clean_fusion,0.6975083986562151,0.5939249720044792,0.10358342665173581,-0.03461322647242952,0.22840105643934716,5000,-0.03461322647242952,0.22840105643934716,5000,True,0.3131373725254949,1565,5000
source_only_clean_fusion_vs_raw_clean_e5,internal_development_test,all_rows,average_precision,step9_v7_source_only_clean_fusion,raw_clean_e5_cosine,0.406687681473829,0.4119593902009112,-0.005271708727082214,-0.15869360997464335,0.11326401457601704,5000,,,0,False,0.9560087982403519,4780,5000
