step26_split,model_id,slice_name,row_count,positive_count,negative_count,roc_auc,average_precision,pr_auc,mean_score,q95_score,maximum_score,top_positive_budget_intrusion_count
representative_valid,step15_v8_b0,soft_positive_plus_all_negatives,116,26,90,0.7572649572649574,0.5920595525730904,0.5868211539636242,,,,
representative_valid,step15_v8_b0,ordinary_negative,46,0,46,,,,0.15424406144323913,0.5159846537635,0.634158649494,6
representative_valid,step15_v8_b0,public_contact_or_url_noise,3,0,3,,,,0.129305186935,0.1968519942567,0.202305668184,0
representative_valid,step15_v8_b0,semantic_topic_not_controller,16,0,16,,,,0.08755395258025,0.5036861271695,0.662664000908,2
representative_valid,step15_v8_b0,template_clone_not_controller,25,0,25,,,,0.34726846566136005,0.7447089945318,0.78278559768,7
representative_valid,step15_v8_clean,direct_component_positive_plus_all_negatives,94,4,90,0.6388888888888888,0.099055330634278,0.06594080305380615,,,,
representative_valid,step15_v8_clean,soft_positive_plus_all_negatives,116,26,90,0.7717948717948717,0.5797338191914432,0.5745880632781499,,,,
representative_valid,step15_v8_clean,ordinary_negative,46,0,46,,,,0.2942176489624565,0.86230700816475,0.891214347195,11
representative_valid,step15_v8_clean,public_contact_or_url_noise,3,0,3,,,,0.314825233819,0.6597168645602,0.714541002622,0
representative_valid,step15_v8_clean,semantic_topic_not_controller,16,0,16,,,,0.067591793846125,0.44753789588725,0.460529545792,0
representative_valid,step15_v8_clean,template_clone_not_controller,25,0,25,,,,0.6101079740004799,0.9534605719252,0.957144950431,8
representative_valid,step15_v8_contextual,direct_component_positive_plus_all_negatives,94,4,90,0.7388888888888888,0.36923076923076925,0.3476501439736734,,,,
representative_valid,step15_v8_contextual,soft_positive_plus_all_negatives,116,26,90,0.7709401709401709,0.5790210184786425,0.5738860118408043,,,,
representative_valid,step15_v8_contextual,ordinary_negative,46,0,46,,,,0.29421764896247826,0.8623070081640001,0.891214347195,10
representative_valid,step15_v8_contextual,public_contact_or_url_noise,3,0,3,,,,0.31482523381933336,0.6597168645602,0.714541002622,0
representative_valid,step15_v8_contextual,semantic_topic_not_controller,16,0,16,,,,0.067591793846125,0.44753789588799997,0.460529545792,0
representative_valid,step15_v8_contextual,template_clone_not_controller,25,0,25,,,,0.60902809860448,0.9534605719252,0.957144950431,8
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,direct_component_positive_plus_all_negatives,172,22,150,0.5581818181818181,0.21759667299255217,0.19349634791210985,,,,
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,soft_positive_plus_all_negatives,178,28,150,0.7440476190476192,0.33154068805836306,0.3103497078392815,,,,
