step26_split,model_id,row_count,positive_count,negative_count,roc_auc,average_precision,pr_auc
representative_valid,raw_identifier_redacted_e5_cosine,120,30,90,0.7322222222222222,0.5325782255361935,0.5233863864062502
representative_valid,raw_pcm_multilingual_authorship_cosine,120,30,90,0.6574074074074073,0.3617660823608113,0.3494647726918606
representative_valid,raw_mstyledistance_cosine,120,30,90,0.7822222222222222,0.4595830354579998,0.43811076718154335
representative_valid,source_only_e5_lr_l2_control,120,30,90,0.7322222222222222,0.5325782255361935,0.5233863864062502
representative_valid,source_only_style_only_lr_l2_control,120,30,90,0.6848148148148149,0.38431585499025334,0.3715197918569605
representative_valid,source_only_semantic_style_lr_l2_primary,120,30,90,0.7362962962962963,0.508494941284591,0.49855397591399336
representative_valid,step15_v8_b0,120,30,90,0.7544444444444445,0.6005457194750095,0.5954167318361522
representative_valid,step15_v8_clean,120,30,90,0.7540740740740741,0.5748545534740124,0.5698056867077802
representative_valid,step15_v8_contextual,120,30,90,0.7666666666666666,0.6016695391200928,0.5970752619241335
internal_development_test_diagnostic_only,raw_identifier_redacted_e5_cosine,200,50,150,0.6622666666666668,0.4119593902009114,0.39744459407221827
internal_development_test_diagnostic_only,raw_pcm_multilingual_authorship_cosine,200,50,150,0.6758666666666667,0.44257905113921253,0.42836662015944094
internal_development_test_diagnostic_only,raw_mstyledistance_cosine,200,50,150,0.782,0.4893734079283558,0.47481106894763736
internal_development_test_diagnostic_only,source_only_e5_lr_l2_control,200,50,150,0.6622666666666668,0.4119593902009114,0.39744459407221827
internal_development_test_diagnostic_only,source_only_style_only_lr_l2_control,200,50,150,0.7525333333333333,0.4852039350669183,0.4710700839793104
internal_development_test_diagnostic_only,source_only_semantic_style_lr_l2_primary,200,50,150,0.7641333333333333,0.5170330941551938,0.5031364905692437
internal_development_test_diagnostic_only,step15_v8_b0,200,50,150,0.6668000000000001,0.4607560491459554,0.45623016651985926
internal_development_test_diagnostic_only,step15_v8_clean,200,50,150,0.8286666666666668,0.5441387026067505,0.5345633976449257
internal_development_test_diagnostic_only,step15_v8_contextual,200,50,150,0.8445333333333334,0.6205249411397719,0.6154620372210099
